it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	tot_length
0	-11311.930000805321	-160.53849340381112	-11151.391507401511	308.6682502550905	0.0	1.1	1.1	0.29447972785650733	0.1868275767998143	0.11914158698866963	0.2458206261023218	0.365328817927973	0.15778497709130948	0.6852269760545522	0.22911127317480898	0.11897061965363956	0.1967548266777236	0.35939090529351214	0.7587843371873165	0.8076858651559301	0.2614624773014515	0.7335857867232983	0.5646505145739937	0.1424930036267551	0.1051765634564249	0.29331426468162336	0.3098530138159096	0.11138120599090255	0.11714037185615224	0.12481742594271672	0.8388640942258042	0.10820153315884856	0.14102185961784441	0.22454241417673504	0.4441524736509359	0.13997950253350175	0.21678134531874332	0.12124703996311925	0.23132748643304005	14334.870283625174
100000	-1236.2176275937222	-74.15539192587276	-1162.0622356678496	308.6682502550905	0.0	19.86781403757134	18.752723794981947	0.04920041960074718	0.06751723937544304	0.0399822441181479	0.008661448065306353	0.015853544137295204	0.06537821224250735	0.04634106055564687	0.03401727981481207	0.041797964392352664	0.04031933730351091	0.021671163927203956	0.003336517376208209	0.0018892271874073813	0.0004021270618818486	0.003465563845819416	0.002111025324995622	0.06963971205878475	0.10737121129231836	0.02959761869331966	0.005003114073089731	0.058973839704778895	0.007860098595071313	0.006682977859548075	0.001479955209438045	0.015252337849654995	0.005402362337002051	0.006523310093847549	0.01249552543523554	0.002888339431468355	0.00032554381738131733	0.0014453311491257552	0.002537747030088477	14334.870283625174
200000	-1237.5741154344216	-75.43732671476009	-1162.1367887196616	308.6682502550905	0.0	16.225073520834258	18.54615585853183	0.015416817106972505	0.017083936619942505	0.03640286657612222	0.003257359446254166	0.04145661313453227	0.08184879187970111	0.04438627817830461	0.026504488248432448	0.043422794466458324	0.042208260190831744	0.022462832354416713	0.0056508103596152525	0.0025677350114596794	0.0012303298140360398	0.002310852624259585	0.00043765834658039617	0.14819146507045597	0.06605789863058623	0.026232021419506563	0.006004527523826934	0.007491034695307749	0.001734255144272344	0.0017284957433736032	0.017057605608354204	0.008363711784334623	0.005729947155142373	0.008390656605558053	0.013031495779013655	0.01056271313983846	0.0011600075130353102	0.0018076300248273986	0.0020422195916913384	14334.870283625174
300000	-1233.5757753981009	-77.67450277267821	-1155.9012726254227	308.6682502550905	0.0	19.855248269061047	18.54970774204995	0.0540644298658104	0.018572042521902588	0.2609569439242745	0.0019499009275289962	0.008125838121955846	0.04267231299527652	0.04740880526297116	0.042575995410833956	0.04335255284258732	0.037466250488794366	0.022549547640193113	0.0038963249949237637	0.00458199575992564	0.0012861240055138383	0.001829676643561232	0.0021996694882068808	0.20945662594497	0.007456181097669539	0.02495592102930857	0.0024845893605483877	0.026811139687908724	0.009695622226324635	0.004682869748250502	0.0031659248050453464	0.0065215430268105255	0.0034841273103281777	0.0034151703234320506	0.014261756042565764	0.0076086923601235475	0.0003046235310624078	0.0008802038894858988	0.0008140609091935974	14334.870283625174
400000	-1231.8461127328585	-75.64672307308393	-1156.1993896597746	308.6682502550905	0.0	19.13074071654806	16.417326117521707	0.08067178528120944	0.005229292619583295	0.07761051913717215	0.041201297527703566	0.00111833824860525	0.04480338656971861	0.07087754887898019	0.02437536032032784	0.04284847894695561	0.03807057584336356	0.019546809606719704	0.004725618800000241	0.0018309014905091795	0.0009527716951536306	0.0020717112619684473	0.0007519948210781722	0.0664866141531867	0.013807588487893957	0.04300022302174595	0.06676108524941236	0.016348924365052003	0.015691362943875894	0.004707065788021181	0.007582181513815404	0.0026013806717646803	0.0048304277095492535	0.005755267044344708	0.012105624570822732	0.005116243576455371	0.0003496283161612547	0.0006990570596985467	0.0029313767492858524	14334.870283625174
500000	-1235.5657633774076	-77.89625674782471	-1157.6695066295829	308.6682502550905	0.0	18.922299281353876	16.440239850141193	0.1664224394189177	0.06550388828341408	0.029831951874459566	0.021671969774639938	0.029235127180967716	0.054361068111820024	0.06189971121884692	0.03334405529273417	0.03508942032326794	0.031395867220059034	0.02114525764411752	0.0055187717155966666	0.003935192280461702	0.0012777367405236776	0.002349402482927889	0.0004843207974025392	0.1320169674651419	0.006747268555035815	0.030795823842192892	0.07607606722964792	0.018123404996503854	0.006829539197249061	0.0044495827682786765	0.004877708179260401	0.005092224359395377	0.0026839572293857602	0.006191764861145781	0.012872480739409595	0.008220071941649983	0.0016396981811467024	0.0023871554715016864	0.0011561966847625585	14334.870283625174
600000	-1241.7013523773962	-80.96283329771364	-1160.7385190796826	308.6682502550905	0.0	19.060703579776494	19.095172946745237	0.09300878552179857	0.15955902863530197	0.06361672028542076	0.0387676738367989	0.0074611097246824526	0.07590005477379351	0.05882429185756994	0.029378023644073256	0.036086879405136496	0.05659216207932535	0.020383545776102678	0.008374548200493197	0.0008663642572553261	0.0010926049225285024	0.0031950901817222777	0.0027285536064651306	0.3367580354024374	0.03461346159033836	0.011870629509063715	0.016960314095727215	0.015326161757790517	0.028210215643419218	0.0056385155231964725	0.0035482530499093825	0.003973159222752194	0.010872091970572904	0.008393017620269597	0.014809958207708614	0.007410008006845891	0.0008443047159636727	0.002079749086957503	0.0007311844269751775	14334.870283625174
700000	-1238.5782447341255	-75.21613983079556	-1163.36210490333	308.6682502550905	0.0	18.27722914606879	18.81404938137457	0.06763398054339176	0.0207277592488897	0.1521753672475149	0.022088793127833246	0.014811927227493589	0.039050080813243744	0.07660743705531414	0.03219131197601165	0.03665907058208146	0.04312649323503588	0.020351386178299964	0.004175037182511192	0.002575368071084865	0.0031294945884712505	0.005426828901123425	0.0020493418497758795	0.0375120396794816	0.014357122997687937	0.01780486194544853	0.07343749209775352	0.06129186904834749	0.023285352649156946	0.004785758519243093	0.01040730662374197	0.007352920795523165	0.0035246073386481108	0.0030239940197710497	0.008965390859882627	0.0068353716535990115	0.0007480985972034928	0.0004878698114445	0.0013131592248144227	14334.870283625174
800000	-1241.781665099103	-79.68737726359085	-1162.0942878355122	308.6682502550905	0.0	17.980545987149796	17.08149153180347	0.1995251165466215	0.07938902159218826	0.07392881705308675	0.004990478963066838	0.010614396279968796	0.03418977362424004	0.054902095324646925	0.03551126909081359	0.04014896820349998	0.04468975280216605	0.02338263778454012	0.004011221674530632	0.001425709549431172	0.0011090481941472036	0.004163055186938111	0.002041183963066188	0.08244185168119272	0.08578936736855329	0.0445877454926545	0.025342868630365615	0.06152544970706397	0.015680938526039755	0.016178995471302807	0.0014251575656351288	0.015498775397786983	0.0026593548240278486	0.004677907012391693	0.014736142237570589	0.007875135260353041	0.0010539681274549623	0.002582853920784859	8.183714951213768e-05	14334.870283625174
900000	-1232.6028978230634	-80.49686550290377	-1152.1060323201596	308.6682502550905	0.0	18.653695693606547	19.810498747485642	0.20101856619587882	0.026494452737431798	0.15031732846531487	0.0496459014856443	0.04448645823469206	0.08089091442681899	0.06542633193225757	0.0331320391817191	0.03577032106931229	0.034549462342684086	0.018137226387747316	0.0048192975825255	0.0014979737578535654	0.0013231446779441568	0.0023857560312013555	0.0013144268353636167	0.17564160353670297	0.0713552154734207	0.01782823855648695	0.014626901642662485	0.018085628191546445	0.0319750733939761	0.0005773101067243405	0.003639076299931179	0.013946450944926426	0.007447439713076179	0.00623116156416476	0.013290241387961666	0.006345147654492583	0.0006461765074768343	0.00027729555164600974	0.0006824745530677632	14334.870283625174
1000000	-1229.0929819555738	-72.6099896129816	-1156.4829923425923	308.6682502550905	0.0	16.870529628085674	19.64231326848079	0.0660560030358262	0.017384625611246655	0.03270674057551025	0.025890422307412616	0.00480854842216974	0.0720100596620901	0.03229525236506747	0.03011566479043269	0.03721796893480229	0.04694066887670177	0.020633201399797973	0.009493816424942852	0.0019232448965756659	0.000336606945328868	0.0019790674691054586	0.001172383783970045	0.02081981571031938	0.03469381882103845	0.04329871935613412	0.022777736540015872	0.0053470992321270035	0.010531496416212843	0.00010622676137183806	0.005987462439211575	0.005521462384140513	0.003797648342132095	0.004227259294664349	0.015368140152554256	0.007255979368115273	0.00016056401802002693	0.0004368571857442081	0.0008084056828315734	14334.870283625174
1100000	-1236.0345510392613	-75.8186214617121	-1160.215929577549	308.6682502550905	0.0	15.14907659440412	18.73570504820972	0.16351275310978194	0.03332137154837323	0.020005142084528322	0.022279037244150243	0.02198676378175524	0.10864725947116428	0.04839442693986467	0.026370097480890753	0.03525472353719239	0.039579587292999506	0.01841565566764182	0.006606725048817326	0.004713656417848728	0.0025244206383350973	0.004040317313684974	0.001454488462911063	0.017944698450081346	0.028754258072169345	0.0479790303976324	0.001403423469006979	0.01665402850863409	0.023596933809476025	0.006891987554684954	0.012439556138466456	0.004773214489764848	0.006065654637614772	0.004197216173646472	0.013152797256570358	0.0038465059459522567	0.001336643367214696	0.0003541399725781315	0.001445631570233616	14334.870283625174
1200000	-1230.1889661402563	-74.77869132043627	-1155.41027481982	308.6682502550905	0.0	19.334782985398515	19.317727183188282	0.10971961051970776	0.08899081366347368	0.06108679937170547	0.007055861187310881	0.015293797229049076	0.08973244060133385	0.08008142998887553	0.04899248701316579	0.033343407268448005	0.04376435540422392	0.018701650774344675	0.0036675662139684546	0.001327370680541897	0.002030161093343425	0.002694912700909388	0.0012815423581127468	0.04107968451880081	0.02543700161649859	0.006313973823619591	0.01637864130493757	0.0619138612435149	0.00840072577468154	0.003992190942247977	0.003663969878422952	0.005220632158000444	0.0058253491226455	0.0049038125815152305	0.015303015338345164	0.008791219499056032	0.001864661558563654	0.0006895969996094294	0.0011634292581130445	14334.870283625174
1300000	-1230.3849754001658	-75.02870423939285	-1155.3562711607728	308.6682502550905	0.0	16.725392465013847	18.91200635666165	0.14038842857680728	0.013754714758398075	0.02443349164290106	0.011554665588645853	0.010923674648297224	0.08873458030221924	0.03885391796422078	0.030015140565531388	0.045348366310610747	0.0367854601469222	0.017616104492157083	0.0077945566630348165	0.0017900005995413707	0.0018011869564041904	0.0020556520546946675	0.0015940208634382127	0.09916448829196867	0.01638921608652097	0.025120956876267562	0.03433306246704884	0.008864806641153272	0.03530571739345288	0.0026148117060433348	0.0030044056452345064	0.004370277308508573	0.006650046933741903	0.005888685698974634	0.016423852725508274	0.00889546901209423	0.0015098518169303012	0.0008495183664612171	0.000956664089161818	14334.870283625174
1400000	-1254.3706090360035	-81.14492812683667	-1173.2256809091668	308.6682502550905	0.0	16.12675626040109	18.048757416507257	0.04106307256913595	0.021945836432265744	0.11083029147586068	0.023176166389626197	0.02024907466138786	0.0670310649333742	0.05029782122697881	0.04621947555939363	0.020307485437183925	0.057228961570881046	0.021788248405540698	0.006157029129197507	0.004237954312242994	0.003918576517687282	0.0016983257992928128	0.0025448660179947452	0.24092410739498585	0.00017139795205183738	0.10018797545585355	0.0443257211439446	0.10061768377313932	0.025167769852877872	0.010207086596855836	0.005706016001902122	0.013754875523364282	0.005265800215174123	0.0054567285410683855	0.013788274808072303	0.0066308675354753285	0.0022495288737954568	0.002969563203463234	0.0008430661372290768	14334.870283625174
1500000	-1236.6983335255545	-79.94059905852366	-1156.7577344670308	308.6682502550905	0.0	19.055532397490754	19.638525272393327	0.06857865125628043	0.022834332237490013	0.08225107803779946	0.0421552334762586	0.09169913921200264	0.16457579220018917	0.03339803209189807	0.03774021717728653	0.026689843481337835	0.039530224968890144	0.01621722295582546	0.005640366460943675	0.001639821917198058	0.0008818609582867717	0.0019236285466838036	0.0021946927176185516	0.18558798311716454	0.09458273746924795	0.004146830841604258	0.03590745328591778	0.09147151449041234	0.0022468388742904965	0.00203456531215263	0.003969673820659758	0.004432449364080402	0.004753842845124954	0.0055985598069757175	0.013170590779501173	0.008224812245271919	0.0007750771737815898	0.0004736253614607173	0.002012878313563014	14334.870283625174
