it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	tot_length
0	-7793.792202152389	-137.1879123860952	-7656.604289766294	264.6821664762864	0.0	1.1	1.1	0.14747422862807308	0.24732419565130614	0.19590805594138014	0.1477741839266792	0.14993004535785534	0.38528589252903206	0.2204996347733749	0.11599503813675778	0.30195030950968016	0.12062854994729608	0.37631340231094745	0.2721071993523714	0.27172849915374286	0.3037985716842382	0.8441575655234994	0.7527755933020377	0.2126786730374242	0.313656360107759	0.21504671421877586	0.15380368302897818	0.2456343512437219	0.21024549811313786	0.43988086836691803	0.13427004161424788	0.10681505316232776	0.21882476183714172	0.3779076686502096	0.23640777420422815	14547.789618307508
100000	-1100.0420613161998	-64.20739110576868	-1035.834670210431	264.6821664762864	0.0	18.65392705739411	19.22607810810836	0.09505470853318049	0.07588543099904344	0.03725115042270391	0.054189422088532564	0.08035212921445506	0.030293405604138558	0.047470353358587576	0.03480734472163857	0.01553625827416551	0.0010278036881847003	0.0004591339155521475	0.0007701952073784783	0.004261171774467977	0.0011572230080131444	0.1353422623435118	0.015331348165345779	0.02102403156694384	0.023589864029240126	0.006031804327354164	0.0005814266831445382	0.005472999093640251	0.0016050933995085171	0.001808965220993851	0.01426624309575102	0.0034266072979537293	0.0004249129742457322	0.0004993434096181786	0.0011797591599878767	14547.789618307508
200000	-1103.24715614096	-63.06149335152788	-1040.1856627894322	264.6821664762864	0.0	15.675110752807349	17.317162997770836	0.009917862736007307	0.01209931522801319	0.011858972435466542	0.03067762637315442	0.05100647871929785	0.027508859320413862	0.03036740444341819	0.03284598816279271	0.014777435411071016	0.0030146259460347388	0.0024025198501564297	0.0024325319753135365	0.006445675007235882	0.0007635586461586165	0.04561237219712542	0.015421202736327595	0.1259844330295551	0.0009109329663207856	0.006244973895344165	0.0011356853672150609	0.009811981698692426	0.0017044567698621593	0.005006840000320567	0.01327655982849137	0.0020986512115659267	0.0009590152851799335	0.001320644950447801	0.0008308044966931384	14547.789618307508
300000	-1098.7100189737653	-62.69382743988081	-1036.0161915338845	264.6821664762864	0.0	19.629401101424335	17.756888885355394	0.021845877712911854	0.07423362355992504	0.08330678170023993	0.017827579160326772	0.09286279557305385	0.020624072796383706	0.02943957091494031	0.027594489789622513	0.018048391287212365	0.0032162513004295665	0.0008457955628729737	0.0003797976885329994	0.003226181976243042	0.0010124081100544885	0.11589113339166038	0.01010618122585748	0.0180316408643271	0.0031301215274055104	0.001212094228254961	0.0017883609634803037	0.003982078336722117	0.003243666741788057	0.003700922822275143	0.012109976586741645	0.0036144286164555223	0.0006327851413177159	0.0007444028250071813	0.00025145040466325485	14547.789618307508
400000	-1101.9953511452368	-62.04977536040294	-1039.9455757848339	264.6821664762864	0.0	19.51859733853399	18.85362154843538	0.16657666228256732	0.04435074136162316	0.0526946935483521	0.0611667912994852	0.062482497615615855	0.04421976001658663	0.02940949955650315	0.03622403389526798	0.011922929078258296	0.00288759597776843	0.0026214427490663873	0.0013087348372438489	0.0074944693389835905	0.0016786782130738297	0.018817057270361155	0.015508236460751841	0.00808775531366813	0.01443110057632794	0.006384200726745063	0.0028948452362801296	0.007145890746182979	0.002841714682503971	0.002352107221514239	0.00917327010128954	0.0030290855876465234	0.0006951797912211365	0.0009510005275340909	0.0012433958130178356	14547.789618307508
500000	-1103.8656074238336	-62.12050827123769	-1041.745099152596	264.6821664762864	0.0	17.625764794879288	19.796803305740315	0.15119219863050593	0.004475914621719951	0.030646857845536817	0.07183622719383846	0.044118939723810834	0.04422289384076019	0.0175633877621174	0.03894822493256365	0.015418461356990334	0.0023130997397781336	0.0012585483594442037	0.0007854233926944754	0.0009676020963450395	0.00041006623904669477	0.07582750070915388	0.013328934669177494	0.020610246577343744	0.00885506008330515	0.0067401532939910655	0.00568584365176938	0.0018391109398310694	0.0014638557852350465	0.0044996545168658345	0.014277750123981893	0.0022465959408040637	0.0022649888761024977	0.0006638792027783572	0.0011312921610261851	14547.789618307508
600000	-1103.7657380262876	-65.03837699387442	-1038.7273610324132	264.6821664762864	0.0	19.885459990895292	15.588088265205704	0.17960504163677574	0.013892429887448736	0.04672266038190988	0.016823509464930123	0.06044638100896843	0.055943043452523225	0.036818006822686926	0.03653295718500242	0.014338455617712288	0.0033502740294857475	0.0013349914980660517	0.0025745216073888434	0.003912320134180116	0.0021961475954968526	0.019784597652325587	0.06678554955588295	0.03260856006977004	0.02261297356404386	0.00422190231211239	0.0004133511381983973	0.003380741098160323	0.0026517390548369576	0.0043762591709386395	0.01172698463666689	0.00457441829255056	0.00014726813627156276	0.0010214204158545423	0.0017703210021321866	14547.789618307508
700000	-1100.7328102921056	-65.02690793528843	-1035.7059023568172	264.6821664762864	0.0	15.789333828515753	17.678045498086043	0.24822648353384222	0.010796809578226672	0.08257855324498271	0.030270366655696556	0.051159340738272274	0.04155363320741702	0.03127070632621661	0.02976630840813511	0.015191190050729166	0.004206436443085647	0.0025031416221277664	0.002130458695608274	0.002520398966041861	0.0005235223505941564	0.003058786895862951	0.00907406233086492	0.01610206231556287	0.014744059852454762	0.002440645016711672	0.001611930441999809	0.00955970588793025	0.0017908222751585221	0.0038827238378503284	0.015427730281539242	0.004342354955439887	0.0012900317976994957	0.0007123686616568777	0.0007080924089450707	14547.789618307508
800000	-1096.7801756235529	-62.66960289365688	-1034.110572729896	264.6821664762864	0.0	18.555377843743976	17.963775554011285	0.03885044807860198	0.06444553505475303	0.009447609061657931	0.0582249135110549	0.07713597419015528	0.037494186171519096	0.0382347253894332	0.03398952273887961	0.018460644228995137	0.004270112004447691	0.0006767477428975593	0.0004362909383212301	0.002402388381239136	0.0017180262078303097	0.0032926151560209254	0.08686057013373139	0.03677829390513618	0.00024402488294804703	0.004195991750954069	0.0005702982132933811	0.0049013725598082624	0.0016651879170955278	0.002217987998765465	0.016271864421313304	0.00269925710458184	0.0005120413233400657	0.0014244668805898078	0.0015252766032287444	14547.789618307508
900000	-1103.4522017626582	-63.46871246171805	-1039.9834893009402	264.6821664762864	0.0	14.646978541777182	19.970606439369348	0.054465000599969365	0.010489090991921796	0.03462491348155501	0.05467466911078152	0.07606046302034204	0.044639772060052506	0.03347160831321713	0.038507375965016605	0.018573595673054638	0.0030371548380467156	0.0023830862093377238	0.001550327054640146	0.0034739982383309633	0.001365932276582866	0.07965721470276618	0.026684719686697635	0.06781373087250037	0.002385565960601609	0.0010013357336601683	0.006544257409656802	0.011774573410695736	0.003113403962117472	0.004669743892618076	0.009624761306432547	0.0023382928906147413	0.002229771599030889	0.0012561821787754302	0.0007859272265912138	14547.789618307508
1000000	-1097.1090967448795	-62.76141122615646	-1034.347685518723	264.6821664762864	0.0	17.44849642066407	18.497958035277264	0.12138167491352093	0.029045871639039152	0.006269782063066502	0.06071618759394776	0.06171113330372212	0.019612340820053427	0.03490078240325633	0.038743505484031736	0.017194725085774305	0.0022953956768724205	0.0011959070785248003	0.0015699883735354144	0.001978955981994735	0.0011061081656964663	0.029645417367965877	0.023551690389647686	0.012922753876173337	0.06666871310041604	0.007389036865867077	0.0022797545653009113	0.006583049499023666	0.0010215773665488604	0.002547037881670513	0.015051104118064065	0.0028996564990865846	0.0002813377860162454	0.0007574631543887335	0.00036534297838466435	14547.789618307508
